x,y
0,0
20,0
40,0
60,0
80,0
100,0
120,0
140,0
160,0
180,0
200,0
217,4.6
230,17.1
234.6,34.1
230,51.1
217,63.7
200,68.3
183,63.7
170,51.1
165.4,34.1
170,17.1
183,4.6
200,0
220,0
240,0
260,0
280,0
300,0
315,10.6
320,26
315,41.4
304.4,52
290,56.6
275.6,52
265,41.4
260,26
265,10.6
280,0
300,0
320,0
340,0
360,0
380,0
380,20
380,40
380,60
380,80
380,100
370,115.6
356,122
340,122
324,115.6
314,100
314,80
314,60
314,40
314,20
314,0
294,0
274,0
254,0
234,0
214,0
194,0
174,0
154,0
134,0
114,0
94,0
74,0
54,0
34,0
14,0
0,0
